"","MCF7_LTED_r1","MCF7_LTED_r2","MCF7_LTED_r3","MCF7_TAMR_r1","MCF7_TAMR_r2","MCF7_TAMR_r3","MCF7_WT_r1","MCF7_WT_r2","MCF7_WT_r3"
"P53618_COPB1",22.1588138563668,22.1928859005864,22.2133769720468,22.2474350848918,22.4049053709146,22.3173868465823,21.2444379069196,21.974300743132,21.8658253202597
"P53621_COPA",22.8801356133848,22.9341966104252,22.9174799268855,22.8775491445477,23.0084128090072,22.893748562709,22.7459492164248,22.8092632663867,22.7314018619602
"P53634_CTSC",17.7707462036524,17.7116314908227,17.6535273896781,19.27581748182,19.2311863372245,18.9752160103164,18.8499473814967,18.8535021481629,18.7030773373932
"P53667_LIMK1",17.3881328675933,NA,NA,17.9633035730497,17.8504937059419,17.6315397601619,17.5221564658313,17.5972152030133,17.6153609091948
"P53671_LIMK2",15.6924516135768,15.7568981225018,15.7748411742129,15.8133468979269,15.8738135431241,15.8644860818944,15.5933480851921,15.4543552261276,15.6511752495471
"P53675_CLTCL1",22.4619731855446,21.7318470798254,22.3492130218246,22.4222160807186,22.6418238006126,22.750772636888,22.497800688954,22.1803795478078,21.5649552535304
"P53677_AP3M2",17.4190784758559,17.3585530683934,17.3943360497681,17.5986618681635,17.5747749570271,17.4635768032141,17.1200754808735,17.4967758035769,17.1990722930337
"P53680_AP2S1",21.4839402332256,21.4435325416032,21.4838141607679,21.2435536941766,21.1417473003907,21.1191986675703,21.2083424431805,21.3224015078722,20.9174954057564
"P53701_HCCS",20.1271864253098,20.1469000418502,20.2394154173745,20.9197002777887,20.8679838298473,20.9157596876257,20.3909088685395,20.1701535487759,20.3989852166783
"P53778_MAPK12",18.1195432812619,17.7454246634513,18.0602071708194,17.2536021297215,17.8838502950629,17.78701911098,17.8045110949008,17.8614825512165,18.5358703487985
"P53794_SLC5A3",16.8212068744852,16.9013472220561,16.5502168614662,17.5953334526445,17.4623787157248,17.4341526896667,17.122559286897,16.8517680498545,16.8115519515042
"P53801_PTTG1IP",18.4661361981509,18.5447926743426,18.3727436899976,18.0141232477722,18.0345815013072,17.9004486879951,18.0725785065405,18.4376379257541,18.4475767693918
"P53803_POLR2K",20.388902968204,20.3562170126297,20.3082350957312,19.6830181382258,19.6515554842048,19.5595677731663,19.8197752506392,19.8917916252063,19.327300787288
