"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q14692_BMS1",-0.354546524420698,20.0940471924463,-5.11670882858614,0.00113205952797535,0.00503907797110305,-1.54743144523074
"Q14693_LPIN1",-0.0489484929257884,18.5740412848372,-0.780431116525707,0.45919176765155,0.565805487827071,-7.5658966271372
"Q14694_USP10",-0.0937818234222938,21.1500989689557,-1.27156777651305,0.241751426768682,0.34200400770662,-7.06883349158439
"Q14696_MESD",-0.108283679483723,20.9903768426286,-1.99043997266498,0.0843280766857575,0.147616929395375,-6.09865845584541
"Q14697_GANAB",0.00575707627553612,23.8421953763765,0.113946209165989,0.912288308749338,0.940078733035273,-7.89007914022432
"Q14722_KCNAB1",-0.00888194222837768,16.8954144894741,-0.037633423876154,0.971384826128199,0.981008850165136,-7.55466489307593
"Q14728_MFSD10",0.463817468685285,18.440332433988,1.95140759085781,0.0947869949633387,0.162660019090668,-6.17025846263023
"Q14738_PPP2R5D",0.275072988588033,20.2557448435434,5.4528794835518,0.000770650082743245,0.00373372909882538,-1.12555593984702
"Q14739_LBR",0.302984021817821,20.6252632494496,3.89295223179998,0.00526241300445956,0.0164141768335754,-3.21833149498895
"Q14746_COG2",0.188375752830005,19.9796599439932,3.07706578329265,0.0165431986650427,0.040367939289579,-4.43881239049379
"Q14766_LTBP1",0.420205386688355,16.5099614903197,3.91276533926593,0.00512406348105104,0.0160810612941852,-3.18962862446307
"Q14781_CBX2",-0.439535364058614,16.7475212962824,-4.54856022437254,0.00224800285894464,0.00853325812146563,-2.29683727602707
"Q14789_GOLGB1",0.287288055839216,19.5847340017804,5.88650124280916,0.000479763171604948,0.00261797961950024,-0.60427656845553
"Q14790_CASP8",-0.839724814757631,19.1145153385144,-8.70124964618394,3.64815635023686e-05,0.000395044692600012,2.24242605232926
"Q147X3_NAA30",-0.138209850462303,18.7115246702483,-2.3941454182917,0.045759182170287,0.0910301711402145,-5.4906488135859
"Q14802_FXYD3",0.435549309831121,18.9520236943357,6.97016925427135,0.000162005193742756,0.00116622382877907,0.593697510513909
"Q14807_KIF22",-0.61720558729488,19.6324319132533,-8.58293259832095,4.00685353481765e-05,0.000421933819196707,2.13870808994524
"Q14839_CHD4",-0.171516766844586,21.2311983128205,-3.03012208695341,0.0177169169292306,0.0424861448945946,-4.5108294683635
"Q14847_LASP1",0.285167621788741,22.9625364386479,3.63078563999778,0.00752728185349839,0.0217236956474123,-3.60275153802401
"Q14849_STARD3",0.177746385944017,15.6941901768776,2.4632730532437,0.0412192771344397,0.0836087486582094,-5.38460143947419
"Q14865_ARID5B",-0.0760608568325427,15.8627039124819,-0.640875757580207,0.547553451029894,0.649200703027844,-7.32187296553042
"Q14872_MTF1",0.0572525137270183,16.4973273605981,0.533984807463784,0.608897055705718,0.703299686847934,-7.73896899023897
"Q14914_PTGR1",-1.48935687565976,19.5568301388905,-20.8944920480662,6.86841891851891e-08,6.40354422342403e-06,9.06003424413788
"Q14919_DRAP1",0.0933557201948325,20.8928747704011,1.49249838119357,0.176618825779716,0.266689891978259,-6.79389528790166
"Q14966_ZNF638",-0.213950132196025,21.0107309287594,-4.30584535055011,0.00305708945518155,0.0107884901566169,-2.63103412306494
"Q14974_KPNB1",-0.416644175712435,23.9417467154312,-8.19113982871488,5.50938813141286e-05,0.000537921740289289,1.78647936641173
"Q14978_NOLC1",-0.154026655432155,20.8495682101686,-3.07342229101948,0.0166312924908239,0.0405182380791424,-4.44439731179118
"Q14980_NUMA1",0.66021188941405,20.8966880288145,11.7304931136986,4.51222435216097e-06,9.74462010516119e-05,4.54792505637922
"Q14997_PSME4",-0.475580696461012,19.0610029515715,-7.59501174168115,9.16873154736582e-05,0.000784059873373733,1.22307622061445
"Q14999_CUL7",0.162693744306692,16.4319859565463,1.93406740705767,0.0918113191891733,0.158441881535266,-6.18121651944046
"Q149N8_SHPRH",0.055291202507501,16.1011268886606,0.715807142172366,0.495910630106915,0.601688107787234,-7.61681840608139
"Q14BN4_SLMAP",0.0495257000830485,17.9983395240545,0.570884621146996,0.584866153155775,0.681328459013116,-7.71679165789615
"Q14C86_GAPVD1",0.431669448422735,20.4058300118972,9.12961597318536,2.62068959969905e-05,0.000322627568272129,2.60815472643401
"Q14CB8_ARHGAP19",-0.230106536933214,16.9502925818276,-2.77991784691367,0.025631868630614,0.0569804116548544,-4.89628733819043
"Q14CS0_UBXN2B",-0.195574279888566,15.5492955576939,-2.74900506808821,0.0309387401960049,0.0666272306474529,-4.95537607557683
"Q14CW9_ATXN7L3",0.163409394932273,15.5260320038124,1.97774138061552,0.100087822968875,0.169435652479418,-6.06532748091084
"Q14CX7_NAA25",0.160859241481326,20.6378570618407,3.36056322588026,0.0109982122853429,0.0292655749386846,-4.00721513826638
"Q14CZ7_FASTKD3",0.326017699373757,16.4307773987335,1.85322289905465,0.11107391274308,0.184319527441034,-6.22166816369595
"Q15003_NCAPH",0.023137452465626,20.0572126637729,0.356742001392633,0.731168208387837,0.803360297948406,-7.82596565546539
"Q15004_PCLAF",-0.485913258251017,20.7089788814503,-6.96688078814127,0.000162507985952514,0.00116764431635993,0.590272958919119
"Q15005_SPCS2",-0.093545788504926,21.8436225862794,-1.68565447311631,0.133099169148579,0.213276702607605,-6.53448708611189
"Q15006_EMC2",0.180635219375954,20.4072558703092,2.47999733976527,0.0401915952245811,0.0819591212301741,-5.35889652954773
"Q15007_WTAP",-0.0196293931995015,19.8046835817714,-0.298147012860046,0.773728660193943,0.837703918653066,-7.84738509885798
"Q15008_PSMD6",0.0281448146010277,22.8501685231735,0.388769176957947,0.708311148033044,0.785015762063296,-7.81269273466009
"Q15013_MAD2L1BP",-0.107245843870336,15.5984422387219,-1.48161330517156,0.179419959164145,0.269800469671497,-6.80802900002893
"Q15014_MORF4L2",0.392895170360688,20.7576418230558,6.1246513231185,0.000373552271305744,0.00219340024126913,-0.328559872453094
"Q15018_ABRAXAS2",-0.251610482691177,19.566338488506,-4.14889548671049,0.00374687706892595,0.0126300155167279,-2.8515463647248
"Q15019_SEPTIN2",0.0760326534980535,22.8970390889552,1.91231418805098,0.0948681238310922,0.162698911264638,-6.21286680963137
"Q15020_SART3",-0.129520441025601,20.7885382850078,-2.23873942806876,0.0579038654462377,0.109782120773475,-5.7274631091358
"Q15021_NCAPD2",0.0902588242041347,20.3713469881214,1.38310172447523,0.206632384696294,0.301758277173479,-6.93328656863279
"Q15022_SUZ12",-0.101822602282681,18.5451175180799,-1.25165121385981,0.248533498247858,0.349721810068999,-7.09227859044156
"Q15024_EXOSC7",0.0552461516112253,20.1336638017962,0.805649283924538,0.445374013054863,0.552740962630588,-7.54501080900791
"Q15025_TNIP1",0.0515186074750993,17.9783570824161,0.660094096843456,0.529050621734609,0.632066260847177,-7.6576295712173
"Q15027_ACAP1",-0.044227896743319,20.1292325247292,-0.457099150403379,0.660620686972086,0.746737720354158,-7.78073488636368
"Q15029_EFTUD2",-0.0357377046144265,21.8502485838072,-0.895552755187664,0.398478753155825,0.507390084589654,-7.46608877447702
"Q15031_LARS2",-0.133612270003827,18.5461540149402,-2.00210591321453,0.0828554413471511,0.145737025733543,-6.08148175728711
"Q15032_R3HDM1",0.147279345151716,17.565035423735,1.37919777358673,0.207782195362168,0.303032217387214,-6.93814763731517
"Q15035_TRAM2",0.17797222458371,15.2306551523135,1.54734723080061,0.18944828985789,0.28172187822672,-6.215707914967
"Q15036_SNX17",-0.607066169930302,20.0362448987217,-3.47108250754274,0.0113310264381932,0.0298606332712812,-3.95565241866241
"Q15041_ARL6IP1",0.115676687316821,20.2552074258183,1.98978139116874,0.0844119699272674,0.147706456876621,-6.09962723064185
"Q15042_RAB3GAP1",0.16822427194905,19.5771669599081,3.24981213503049,0.0128842664644811,0.0330648597250613,-4.17505931094059
"Q15043_SLC39A14",-0.326442009230281,17.954352216002,-2.64282381683256,0.0314582031586439,0.0675176763469491,-5.10797018114883
"Q15046_KARS1",-0.417062539294449,23.0144231264625,-7.38351119139921,0.000110699284666078,0.000883398780033574,1.01468520096473
