PG.ProteinGroups,PG.Genes,PG.Organisms,[1] oecf4_20240822_Exp61_LTED_DMSO_rep1_full.raw.PG.Quantity,[2] oecf4_20240822_Exp61_LTED_DMSO_rep2_full.raw.PG.Quantity,[3] oecf4_20240822_Exp61_LTED_DMSO_rep3_full.raw.PG.Quantity,[4] oecf4_20240822_Exp61_LTED_inh_rep1_full.raw.PG.Quantity,[5] oecf4_20240822_Exp61_LTED_inh_rep2_full.raw.PG.Quantity,[6] oecf4_20240822_Exp61_LTED_inh_rep3_full.raw.PG.Quantity,[7] oecf4_20240822_Exp61_TAMR_DMSO_rep1_full.raw.PG.Quantity,[8] oecf4_20240822_Exp61_TAMR_DMSO_rep2_full.raw.PG.Quantity,[9] oecf4_20240822_Exp61_TAMR_DMSO_rep3_full.raw.PG.Quantity,[10] oecf4_20240822_Exp61_TAMR_inh_rep1_full.raw.PG.Quantity,[11] oecf4_20240822_Exp61_TAMR_inh_rep2_full.raw.PG.Quantity,[12] oecf4_20240822_Exp61_TAMR_inh_rep3_full.raw.PG.Quantity,[13] oecf4_20240822_Exp61_WT_DMSO_rep1_full.raw.PG.Quantity,[14] oecf4_20240822_Exp61_WT_DMSO_rep2_full.raw.PG.Quantity,[15] oecf4_20240822_Exp61_WT_DMSO_rep3_full.raw.PG.Quantity,[16] oecf4_20240822_Exp61_WT_inh_rep1_full.raw.PG.Quantity,[17] oecf4_20240822_Exp61_WT_inh_rep2_full.raw.PG.Quantity,[18] oecf4_20240822_Exp61_WT_inh_rep3_full.raw.PG.Quantity
Q96L92,SNX27,Homo sapiens,1803551.625,1844682,1590282,1715461.625,2125394.25,1397412.875,2000997.875,1910941.5,2053402.25,1901332.375,1992249.625,2691381,2998407.75,2047219.625,1978818.875,2760461.25,2313857.25,1755167.375
Q96L93,KIF16B,Homo sapiens,72964.09375,78550.4296875,33897.25390625,61269.0703125,76912.5625,54607.09375,47550.91015625,52310.9140625,56691.54296875,46828.58203125,43096.85546875,62456.14453125,86609.890625,64454.453125,74212.3515625,92695.078125,72439.53125,55095.51953125
Q96LA8,PRMT6,Homo sapiens,3938158.5,4329541,3363902.75,3805278,4478525,2368646.5,1471462.125,1425829.375,1460410.375,1422272.25,1498514.375,1971558.75,2887448.75,2028551.5,1973783.875,2632053.5,2224748.25,1694381.375
Q96LD8,SENP8,Homo sapiens,23859.376953125,19554.90625,17276.142578125,18874.37109375,27572.22265625,21953.80078125,11173.3857421875,12014.662109375,21456.380859375,16712.71484375,9105.7841796875,16616.037109375,21397.294921875,16073.5986328125,5798.80908203125,24751.46875,5497.2509765625,10066.9970703125
Q96LI5,CNOT6L,Homo sapiens,97438.5390625,121956.234375,NaN,102631.5234375,112077.9296875,85421.6171875,95163.1875,71775.6171875,119914.0234375,68769.9609375,84184.703125,170962.234375,129431.6640625,97639.9140625,83643.546875,105090.078125,127572.9296875,88560.6640625
Q96LJ7,DHRS1,Homo sapiens,710047.625,775588.4375,574764.0625,632669.5,763166.8125,570059.8125,246633.5625,242622.28125,263692.625,205759.09375,237721.015625,303164.125,247478.515625,252197.21875,236240.578125,266085.15625,213216.34375,229096.859375
Q96LL9,DNAJC30,Homo sapiens,190754.5,218800.390625,186814.4375,180566.171875,243990.703125,189149.375,185023.40625,210756.640625,233006.71875,162009.328125,180165.34375,250805.84375,230215.109375,182445.6875,180659.984375,191188.6875,193125.6875,141520.21875
Q96LR5,UBE2E2,Homo sapiens,23685.013671875,25578.19921875,43375.12890625,17236.294921875,39366.58984375,18825.322265625,30719.076171875,51747.21875,36277.5,35130.55859375,23301.044921875,48450.05078125,17202.21484375,15605.3310546875,15296.6279296875,15404.7041015625,15214.97265625,15026.703125
Q96LT7,C9orf72,Homo sapiens,100796.8125,83940.765625,46891.23828125,86132.765625,101222.359375,65179.109375,64499.44140625,63656.71875,70770.578125,56490.78515625,57410.24609375,97636.8828125,52249.28515625,56524.36328125,31008.91796875,109644.6484375,51600.98046875,51392.3515625
Q96LW7,CARD19,Homo sapiens,318994.9375,366790.65625,355324.875,300334.5,375722.21875,301408.15625,352845.5625,346927.59375,411813.5,363183.53125,348296.15625,470889.6875,578868.25,377083.15625,356423.875,558766.125,435755.96875,307970.84375
