"","LTED_0","LTED_2","LTED_5","LTED_10","LTED_30","LTED_60","LTED_120","TAMR_0","TAMR_2","TAMR_5","TAMR_10","TAMR_30","TAMR_60","TAMR_120"
"CDK13",-0.00509542662059929,-0.33912916759696,0.54406719989905,0.907327138374074,0.861679462093055,-0.206570800481,0.419221362264552,-2.68173040988164,-2.29639596312816,-1.39466984653843,-1.06192433042692,-1.54140670678165,-2.80211004726151,-2.48419419623111
"CDK16",0.0840358795864045,-0.31328420412048,0.717775574662038,0.934487640877744,0.874150295614414,-0.111839207262956,0.641906840614975,-2.569498722288,-2.65698000166064,-1.52038506530247,-1.08926365958504,-1.5479268843457,-2.5549693226741,-2.18171997323751
"CDK17",0.207963092853315,-0.322341251075194,0.907042176726711,1.0776790348634,0.814057638018589,-0.0544959383805032,0.486858579041371,-1.45245082624048,-1.43021574265646,0.141667246451351,0.139330506657522,-0.381506178026443,-1.59607238071297,-1.3387409472954
"CDK18",-0.00509542662059929,-0.33912916759696,0.54406719989905,0.907327138374074,0.861679462093055,-0.206570800481,0.419221362264552,-2.68173040988164,-2.29639596312816,-1.39466984653843,-1.06192433042692,-1.54140670678165,-2.80211004726151,-2.48419419623111
"CDK19",-0.00509542662059929,-0.33912916759696,0.54406719989905,0.907327138374074,0.861679462093055,-0.206570800481,0.419221362264552,-2.68173040988164,-2.29639596312816,-1.39466984653843,-1.06192433042692,-1.54140670678165,-2.80211004726151,-2.48419419623111
"CDK2",-4.13201916068788,-2.55064481457804,-2.8694885401378,-2.97918653401834,-2.48972422806601,-3.73836610428533,-3.25588272930383,-4.40686576237376,-3.66453286791798,-4.12549691475212,-3.69751249701814,-3.27425607873017,-4.30705165182917,-5.18921495416276
"CDK20",0.26657106688586,-0.108832904592417,0.798361982873647,1.13689596263067,1.09553395834172,0.0180516006671766,0.734230783931814,-2.74138275012531,-2.31609119502805,-1.48606100758492,-1.16552848500731,-1.52355947383184,-2.89088422473513,-2.51357727662186
"CDK3",-0.422211573067807,-0.552765510852572,0.409676635155377,0.389079758842378,0.370865875712961,-0.405955888474337,-0.0707961379946988,-3.15551936487537,-2.31172229467027,-1.69930570899149,-1.66548506203575,-2.35369593466487,-3.22546572524163,-3.11516614895936
"CDK4",-0.44157950416117,0.597784772469433,0.207647544294718,0.0230675004987489,0.726234083791602,-0.420665459400466,0.147711788596751,-3.15167290995564,-2.99115059137063,-2.6327622392261,-3.80281915002012,-2.27699617821416,-3.56209229037456,-4.20733064272458
"CDK5",0.372209313666984,0.801040633104233,1.09357204562862,0.386675010260332,2.02926137389384,0.376763259538346,1.00956393067225,-3.0920466690189,-4.01244258082581,-3.16314565472463,-3.09957809494478,-2.24385365649363,-2.98237978319694,-3.16418799998934
"CDK6",0.239041792032739,0.790917283732565,0.800387643483911,0.63221400776168,1.56182665414387,0.415822157939136,1.05266499977113,-3.42582968707795,-2.68211306381887,-3.16662756358233,-2.95099248772946,-2.61568765308855,-3.33832381070615,-3.18127670344841
"CDK7",-0.393515820411675,-0.0332933318331095,0.504329834081874,-0.246891443402567,0.797387387396749,-0.22621647905707,0.331686934269268,-1.86332416752282,-1.93007172438301,-1.51120345656129,-1.84369555712155,-0.713542488140163,-2.08653513581434,-1.9100953215875
"CDK8",-0.0988629543816815,-0.495148890459339,0.475967640939927,0.732022986870013,0.765341754454107,-0.216631130751345,0.197727882227569,-2.72324647718087,-2.26201813338089,-1.39143556396434,-1.11424232858759,-1.61950692665703,-2.86556570638998,-2.56075883880828
"CDK9",-0.747495995939822,-0.424648883706922,0.573701357442648,0.359619408569461,0.191448654466343,-0.616163633991155,-0.17901740708386,-2.09850788177492,-1.90989845762621,-0.556106866793883,-0.982564696555193,-1.01552765371563,-2.39559381965539,-2.46475999330113
"CHEK1",1.15321927899392,0.802905870306059,0.978516948320232,0.702123196957854,0.861336150120844,0.881164190606134,0.332560845276267,1.2870033941418,1.254378021196,1.44571980417366,1.01151795558053,0.955915566867609,0.944872823229227,0.589711414490152
"CHEK2",0.156920564240427,0.0349956017751645,0.078697595632215,-0.0660123054503781,0.505319628836478,0.226761844583907,-0.428795849451788,-0.382616291390421,-0.383232802894615,-0.658928684396443,-1.8041979273734,-0.664560059895057,-0.521625607808011,-0.55886087224018
"CHUK",-1.07873526477627,-0.0136097253231317,-0.550533985593303,0.0528393056796576,-0.451162371512217,0.566792842205621,-0.821214078309223,-1.84293630585552,-0.605959375141643,-1.15317771733017,-1.25299476955357,0.504594069473791,-1.9013382757687,-3.02979229633705
"CLK1",0.353565016480755,0.0264606772982429,0.427801551334407,0.381853343513683,0.447646487715016,0.308299966474349,-0.318045373742606,0.708077188476844,0.951369261925589,-0.0123581687640063,0.779786119193247,0.633383723940786,1.01421217535228,1.06532803867106
"CLK2",0.6783021335053,-0.532065873205356,0.0367892720667759,-0.099055331351921,0.526724172098215,0.961895743708902,0.707645386358721,0.167645954865991,0.71347871810872,-0.163787822741128,0.423515828980471,0.775629241212192,0.895334402383368,0.271854874056107
"CLK3",-0.631390157665848,-0.371388781521968,0.277563686717927,0.292596007210911,-0.149407154162786,-0.397379998529248,-0.63453317401939,0.105979328169143,0.669013961956039,1.17093203837299,0.738956522600639,0.473419557345528,0.23783530394858,0.384506737169097
"CSNK1A1",-0.43424054358348,0.0856038451807948,-0.812058062285471,-0.803815810559265,-0.958358139441924,-0.936106328064972,-1.25130331244854,0.413634273682872,1.4303181033059,0.362733099860793,0.129935488749289,0.560045585766689,-0.0237464737930157,-0.0157867898144233
"CSNK1D",0.578977369688164,0.539108940995071,0.209344609908857,-0.103508523687495,-0.615258473220143,-0.161172122299157,0.705645784031647,-0.30853055093995,-0.0147840518429292,-0.659802070271315,-0.706670223902061,-0.288322456604899,-0.0555890492865793,0.335240296849465
"CSNK1E",0.334815297927616,-0.845003275722865,-0.532331317948236,-0.623421538915928,-2.38561089895885,-0.948967232360193,-0.411744681354333,1.66548652812129,1.38282495514007,-0.214888926103628,1.07776169799167,0.387832641492257,1.65992682622509,2.12742852981126
"CSNK2A1",3.71469467323263,1.72384902315415,2.37345800687503,1.17337651379789,-0.200129315907534,1.18560320840253,1.65159947550003,5.08695478724318,3.39040767718975,1.87237216568628,4.21258394769589,3.03282021185639,3.711077632472,4.48539756718111
"CSNK2A2",1.66352554619332,-0.377963636555239,0.0225114957896912,-1.34873627761018,-2.03753196037173,-0.396478811863214,-0.237538961031995,2.47089292799941,1.6552648890279,-0.266822721436026,1.88035298783809,1.17626613639403,2.15640789112297,2.94906644836789
"CSNK2B",-0.212835115840898,-2.03543699088952,-1.69209743398167,-1.46206222867727,-2.29176190122656,-1.5438361784416,-0.26423043097318,0.214377204849761,-1.36928266453633,-0.611753747923601,0.204493885037928,-0.624857843016513,-0.291907416962235,0.99431097641134
"DUSP1",-4.25032266865446,-1.01994716061719,-0.296959500078541,-3.20837994889758,-5.27073651413643,-4.77159245884199,-3.47132913281819,-1.33943208126588,1.80256344702535,1.30563541989093,-1.62633594718662,-3.40341681669835,-2.84568820923255,-3.12572618402826
"DYRK1A",-0.693298963058193,-1.21828380987234,-0.289583844577785,0.133147236991322,-0.459470211608704,-0.34463001642327,-0.0139409098037871,0.0551410789860908,-0.91361147040396,-0.218144965701123,-0.608096666432456,-0.443431559175374,-0.0804591333769632,0.0316724842318659
"DYRK2",1.74474549855613,1.41522680269396,1.45537269988057,1.58550012137585,1.94646920668493,2.27540882377852,1.27652637767219,0.605233573701478,0.999899172867,1.73887486831299,0.68369666351219,0.76114363818139,0.838734481265468,0.720304977919219
"DYRK4",-0.421324470979677,-2.09336289801281,-1.08522388758633,-1.36069096583265,-1.33185806697059,-1.69244846764238,-1.10875198163882,-0.902734235135001,-0.887476172722301,-0.244915828422337,-0.488689726318328,-0.396780694218508,-0.937555245782148,-0.455331268181432
"EEF2K",0.199961953117675,0.0762647035742338,-0.225338522638631,0.113675969368836,NA,-0.490439211905258,-0.14441268071381,NA,NA,-1.60206751933431,NA,-1.65389513091708,NA,NA
"GSK3A",-0.18544187834561,-0.0568257128731203,0.428178798119228,0.268491516215124,-0.140783972079724,0.622676666494457,-0.398078740604439,-1.02964008277358,-1.13010889982329,-0.930712519749469,-0.961904227916347,-1.14593809586677,-0.566695214973806,-1.38400968278287
"GSK3B",-3.75000406397769,-3.03476850843683,-3.38528473806399,-4.3609637178601,-3.335936667579,-3.18091413524904,-3.2369844066495,-2.97997159425738,-2.49549108976541,-3.82382620423471,-3.23661294998248,-2.65362816025386,-2.13470486311116,-2.00319052181228
"HIPK2",0.784836845607782,-0.0658493084736431,1.00729861968451,1.16174115246874,1.22235934250285,1.35534304332588,0.970002240868147,0.0431709145496804,-0.106277082642259,0.983457334419429,0.724146579977704,0.978906928322888,0.735814229236028,1.20640592045069
